file,h_m,h_over_b,alpha_deg,CL_single_wing,single_wing_factor,CL_reference,CL_two_wings,CL_ratio_two_wings_over_main_wing,CL_ratio_signed_distance_to_1,CL_ratio_absolute_distance_to_1,CL_ratio_absolute_distance_to_1_percent,ratio_reference_over_two_wings,signed_distance_to_1,absolute_distance_to_1,absolute_distance_to_1_percent,CDi_single_wing,CDi_reference,CDi_two_wings,CL_over_CDi_single_wing,CL_over_CDi_two_wings,CL_over_CDi_ratio_two_wings_over_main_wing,CDi_ratio_reference_over_two_wings,CDi_signed_distance_to_1,CDi_absolute_distance_to_1,CDi_absolute_distance_to_1_percent
Volde h = 0_5_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,0.5,0.038461538461538464,4.0,0.805396,1.0,0.805396,0.738947,0.9174952445753394,-0.08250475542466063,0.08250475542466063,8.250475542466063,1.0899239052327163,0.08992390523271632,0.08992390523271632,8.99239052327163,0.011651,0.011651,0.017607,69.12677023431465,41.96893281081388,0.6071299536858794,0.6617254501050718,-0.3382745498949282,0.3382745498949282,33.82745498949282
Volde h = 0_75_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,0.75,0.057692307692307696,4.0,0.805396,1.0,0.805396,0.74407,0.9238560906684413,-0.07614390933155868,0.07614390933155868,7.6143909331558675,1.0824196648164823,0.08241966481648233,0.08241966481648233,8.241966481648234,0.011651,0.011651,0.01726,69.12677023431465,43.10950173812282,0.6236296241238708,0.675028968713789,-0.32497103128621097,0.32497103128621097,32.4971031286211
Volde h = 1_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,1.0,0.07692307692307693,4.0,0.805396,1.0,0.805396,0.748363,0.9291863878141933,-0.07081361218580673,0.07081361218580673,7.081361218580673,1.0762103417726425,0.07621034177264252,0.07621034177264252,7.621034177264252,0.011651,0.011651,0.016954,69.12677023431465,44.14079273327828,0.6385484608011777,0.6872124572372301,-0.3127875427627699,0.3127875427627699,31.278754276276988
Volde h = 1_4_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,1.4,0.10769230769230768,4.0,0.805396,1.0,0.805396,0.754122,0.9363369075585177,-0.06366309244148227,0.06366309244148227,6.366309244148227,1.067991651218238,0.06799165121823791,0.06799165121823791,6.799165121823791,0.011651,0.011651,0.016526,69.12677023431465,45.632457945056274,0.6601271517587008,0.7050102868207673,-0.2949897131792327,0.2949897131792327,29.49897131792327
Volde h = 1_8_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,1.8,0.13846153846153847,4.0,0.805396,1.0,0.805396,0.758931,0.9423078833269597,-0.057692116673040306,0.057692116673040306,5.769211667304031,1.0612242746705562,0.061224274670556245,0.061224274670556245,6.1224274670556245,0.011651,0.011651,0.016152,69.12677023431465,46.98681277860327,0.6797194866668158,0.7213348192174344,-0.27866518078256564,0.27866518078256564,27.866518078256565
Volde h = 2_2_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,2.2,0.16923076923076924,4.0,0.805396,1.0,0.805396,0.763051,0.9474233793065772,-0.05257662069342284,0.05257662069342284,5.257662069342284,1.0554943247567987,0.05549432475679872,0.05549432475679872,5.549432475679872,0.011651,0.011651,0.015819,69.12677023431465,48.23636133763196,0.6977956755990221,0.736519375434604,-0.263480624565396,0.263480624565396,26.3480624565396
Volde h =2_6_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,2.6,0.2,4.0,0.805396,1.0,0.805396,0.766635,0.9518733641587492,-0.048126635841250764,0.048126635841250764,4.812663584125076,1.0505599144312483,0.0505599144312483,0.0505599144312483,5.05599144312483,0.011651,0.011651,0.015518,69.12677023431465,49.40295141126433,0.7146717725102195,0.7508055161747648,-0.24919448382523524,0.24919448382523524,24.919448382523523
Volde h =3_0_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,3.0,0.23076923076923078,4.0,0.805396,1.0,0.805396,0.769786,0.9557857252829663,-0.04421427471703365,0.04421427471703365,4.421427471703366,1.0462596098136365,0.046259609813636526,0.046259609813636526,4.625960981363653,0.011651,0.011651,0.015244,69.12677023431465,50.49763841511414,0.7305077069845081,0.7643007084754657,-0.23569929152453428,0.23569929152453428,23.56992915245343
Volde h = 0_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,0.0,0.0,8.0,1.182753,1.0,1.182753,1.05974,0.8959943453958688,-0.10400565460413125,0.10400565460413125,10.400565460413125,1.116078472078057,0.116078472078057,0.116078472078057,11.6078472078057,0.024974,0.024974,0.039657,47.359373748698644,26.722646695413168,0.564252535035843,0.629750107168974,-0.37024989283102605,0.37024989283102605,37.024989283102606
Volde h = 0_5_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,0.5,0.038461538461538464,8.0,1.182753,1.0,1.182753,1.084124,0.9166106532809472,-0.08338934671905285,0.08338934671905285,8.338934671905285,1.090975755540879,0.090975755540879,0.090975755540879,9.0975755540879,0.024974,0.024974,0.037811,47.359373748698644,28.67218534288964,0.6054173244568611,0.6604956229668615,-0.3395043770331385,0.3395043770331385,33.95043770331385
