xflr5 v6.59

Plane name :        Volde h =3.0
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    9.800     0.000   1.288810   0.042476   0.013062   0.055538  -0.000000  -0.000000  -4.777455   0.000000   0.000000   55.6000     2.6209
   10.000     0.000   1.306362   0.043629   0.013340   0.056969  -0.000000  -0.000000  -4.847635   0.000000   0.000000   55.6000     2.6204
   10.200     0.000   1.323886   0.044795   0.013608   0.058404  -0.000000  -0.000000  -4.917865   0.000000   0.000000   55.6000     2.6200
   10.400     0.000   1.341383   0.045975   0.013890   0.059864  -0.000000  -0.000000  -4.988126   0.000000   0.000000   55.6000     2.6196
   10.600     0.000   1.358852   0.047167   0.014193   0.061360  -0.000000  -0.000000  -5.058403   0.000000   0.000000   55.6000     2.6192
   10.800     0.000   1.376294   0.048371   0.014529   0.062900  -0.000000  -0.000000  -5.128701   0.000000   0.000000   55.6000     2.6189
   11.000     0.000   1.393707   0.049589   0.014876   0.064464  -0.000000  -0.000000  -5.199050   0.000000   0.000000   55.6000     2.6186
   11.200     0.000   1.411092   0.050818   0.015212   0.066031  -0.000000  -0.000000  -5.269421   0.000000   0.000000   55.6000     2.6183
   11.400     0.000   1.428447   0.052060   0.015562   0.067622  -0.000000  -0.000000  -5.339797   0.000000   0.000000   55.6000     2.6180
   11.600     0.000   1.445774   0.053315   0.015933   0.069248  -0.000000  -0.000000  -5.410170   0.000000   0.000000   55.6000     2.6178
   11.800     0.000   1.463070   0.054581   0.016342   0.070923  -0.000000  -0.000000  -5.480530   0.000000   0.000000   55.6000     2.6176
   12.000     0.000   1.480337   0.055859   0.016784   0.072643  -0.000000  -0.000000  -5.550916   0.000000   0.000000   55.6000     2.6174
   12.200     0.000   1.497573   0.057149   0.017225   0.074374  -0.000000  -0.000000  -5.621319   0.000000   0.000000   55.6000     2.6173
   12.400     0.000   1.514779   0.058450   0.017671   0.076121  -0.000000  -0.000000  -5.691717   0.000000   0.000000   55.6000     2.6171
   12.600     0.000   1.531953   0.059763   0.018150   0.077912  -0.000000  -0.000000  -5.762101   0.000000   0.000000   55.6000     2.6170
