xflr5 v6.59

Plane name :        Volde_MainWingOnly
Polar name :        T1-55.6 m/s-VLM1
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   10.200     0.000   1.386790   0.034196   0.014506   0.048701  -0.000000   0.000000  -0.460521   0.000000   0.000000   55.6000     0.2540
   10.400     0.000   1.405193   0.035095   0.014832   0.049927  -0.000000  -0.000000  -0.464869   0.000000   0.000000   55.6000     0.2532
   10.600     0.000   1.423571   0.036004   0.015172   0.051177  -0.000000  -0.000000  -0.469202   0.000000   0.000000   55.6000     0.2523
   10.800     0.000   1.441923   0.036923   0.015539   0.052462  -0.000000  -0.000000  -0.473522   0.000000  -0.000000   55.6000     0.2515
   11.000     0.000   1.460248   0.037852   0.015950   0.053802  -0.000000  -0.000000  -0.477830   0.000000  -0.000000   55.6000     0.2507
   11.200     0.000   1.478547   0.038790   0.016406   0.055195  -0.000000  -0.000000  -0.482124   0.000000  -0.000000   55.6000     0.2500
   11.400     0.000   1.496818   0.039737   0.016844   0.056581  -0.000000  -0.000000  -0.486401   0.000000  -0.000000   55.6000     0.2492
   11.600     0.000   1.515063   0.040694   0.017282   0.057976  -0.000000  -0.000000  -0.490663   0.000000   0.000000   55.6000     0.2485
   11.800     0.000   1.533279   0.041659   0.017741   0.059400  -0.000000  -0.000000  -0.494911   0.000000  -0.000000   55.6000     0.2478
   12.000     0.000   1.551468   0.042634   0.018238   0.060872  -0.000000  -0.000000  -0.499144   0.000000   0.000000   55.6000     0.2471
   12.200     0.000   1.569628   0.043618   0.018802   0.062420  -0.000000  -0.000000  -0.503364   0.000000  -0.000000   55.6000     0.2464
   12.400     0.000   1.587760   0.044610   0.019398   0.064008  -0.000000  -0.000000  -0.507570   0.000000   0.000000   55.6000     0.2458
   12.600     0.000   1.605863   0.045611   0.019972   0.065583  -0.000000  -0.000000  -0.511759   0.000000   0.000000   55.6000     0.2451
   12.800     0.000   1.623937   0.046621   0.020580   0.067201  -0.000000  -0.000000  -0.515932   0.000000  -0.000000   55.6000     0.2445
   13.000     0.000   1.641981   0.047639   0.021267   0.068906  -0.000000  -0.000000  -0.520093   0.000000   0.000000   55.6000     0.2439
   13.200     0.000   1.659995   0.048666   0.022035   0.070701  -0.000000  -0.000000  -0.524242   0.000000  -0.000000   55.6000     0.2433
   13.400     0.000   1.677979   0.049701   0.022786   0.072487  -0.000000  -0.000000  -0.528373   0.000000  -0.000000   55.6000     0.2427
   13.600     0.000   1.695932   0.050744   0.023636   0.074380  -0.000000  -0.000000  -0.532493   0.000000   0.000000   55.6000     0.2422
   13.800     0.000   1.713855   0.051795   0.024611   0.076406  -0.000000  -0.000000  -0.536603   0.000000  -0.000000   55.6000     0.2416
   14.000     0.000   1.731746   0.052854   0.025679   0.078533  -0.000000  -0.000000  -0.540701   0.000000   0.000000   55.6000     0.2411
   14.200     0.000   1.749606   0.053920   0.026938   0.080858  -0.000000  -0.000000  -0.544793   0.000000   0.000000   55.6000     0.2405
   14.400     0.000   1.767434   0.054995   0.028364   0.083358  -0.000000  -0.000000  -0.548878   0.000000   0.000000   55.6000     0.2400
   14.600     0.000   1.785231   0.056076   0.030017   0.086093  -0.000000  -0.000000  -0.552960   0.000000   0.000000   55.6000     0.2395
   14.800     0.000   1.802995   0.057166   0.031894   0.089060  -0.000000  -0.000000  -0.557039   0.000000   0.000000   55.6000     0.2390


